Redshift Table,Databricks Table
prod_mart_customer_success.rpt_success_plan,mart.customer_success.rpt_success_plan
prod_mart_customer_success.rpt_success_plan_snapshot,mart.customer_success.rpt_success_plan_snapshot
prod_mart_customer_success.rpt_support_ticket,mart.customer_success.rpt_support_ticket
prod_mart_customer_success.rpt_weekly_service_status,mart.customer_success.rpt_weekly_service_status
prod_mart_finance.rpt_activations_pacing,mart.finance.rpt_activations_pacing
prod_mart_finance.rpt_finance_churn_contraction,mart.finance.rpt_finance_churn_contraction
prod_mart_finance.rpt_finance_gross_bookings,mart.finance.rpt_finance_gross_bookings
prod_mart_finance.rpt_finance_overdue_payments,mart.finance.rpt_finance_overdue_payments
prod_mart_finance.rpt_key_operating_metrics,mart.finance.rpt_key_operating_metrics
prod_mart_finance.rpt_pipeline_pacing,mart.finance.rpt_pipeline_pacing
prod_mart_finance.rpt_signups_pacing,mart.finance.rpt_signups_pacing
prod_mart_finance.rpt_tal_pacing,mart.finance.rpt_tal_pacing
prod_mart_growth.dashboard_user_person_details,mart.growth.dashboard_user_person_details
prod_mart_growth.dim_application_organization_funnel,mart.growth.dim_application_organization_funnel
prod_mart_growth.dim_organization_funnel,mart.growth.dim_organization_funnel
prod_mart_growth.dim_person_funnel,mart.growth.dim_person_funnel
prod_mart_growth.growth_rpt_dashboard_application_user,mart.growth.growth_rpt_dashboard_application_user
prod_mart_growth.growth_rpt_dashboard_organization,mart.growth.growth_rpt_dashboard_organization
prod_mart_growth.growth_rpt_organization_groups,mart.growth.growth_rpt_organization_groups
prod_mart_growth.incremental_dim_application_organization_funnel,mart.growth.incremental_dim_application_organization_funnel
prod_mart_growth.incremental_organization_days_to_activation,mart.growth.incremental_organization_days_to_activation
prod_mart_growth.monthly_organization_activation_chart,mart.growth.monthly_organization_activation_chart
prod_mart_growth.organization_days_to_activation,mart.growth.organization_days_to_activation
prod_mart_growth.organization_s150_activation_dates,mart.growth.organization_s150_activation_dates
prod_mart_growth.rpt_application_organization,mart.growth.rpt_application_organization
prod_mart_growth.rpt_quarterly_metrics,mart.growth.rpt_quarterly_metrics
prod_mart_marketing.dim_platform_landing_page,mart.marketing.dim_platform_landing_page
prod_mart_marketing.fact_content,mart.marketing.fact_content
prod_mart_marketing.fact_ga4_landing_page_stats,mart.marketing.fact_ga4_landing_page_stats
prod_mart_marketing.fact_marketing_bottom_funnel,mart.marketing.fact_marketing_bottom_funnel
prod_mart_marketing.fact_marketing_pipeline_attribution,mart.marketing.fact_marketing_pipeline_attribution
prod_mart_marketing.fact_marketing_top_funnel,mart.marketing.fact_marketing_top_funnel
prod_mart_marketing.fact_marketing_won_attribution,mart.marketing.fact_marketing_won_attribution
prod_mart_marketing.fact_platform_landing_page_stats,mart.marketing.fact_platform_landing_page_stats
prod_mart_marketing.fact_session_source,mart.marketing.fact_session_source
prod_mart_marketing.mart_rpt_platform_ga4_funnel,mart.marketing.mart_rpt_platform_ga4_funnel
prod_mart_marketing.mart_rpt_platform_utm_stats,mart.marketing.mart_rpt_platform_utm_stats
prod_mart_marketing.rpt_abx_volume,mart.marketing.rpt_abx_volume
prod_mart_marketing.rpt_demand_gen_funnel,mart.marketing.rpt_demand_gen_funnel
prod_mart_marketing.rpt_ga4_utm_stats,mart.marketing.rpt_ga4_utm_stats
prod_mart_marketing.rpt_marketing_funnel,mart.marketing.rpt_marketing_funnel
prod_mart_marketing.rpt_marketing_pipeline_target,mart.marketing.rpt_marketing_pipeline_target
prod_mart_marketing.rpt_person_instance_touchpoint,mart.marketing.rpt_person_instance_touchpoint
prod_mart_marketing.rpt_platform_ga4_lead_funnel,mart.marketing.rpt_platform_ga4_lead_funnel
prod_mart_marketing.rpt_tal_target,mart.marketing.rpt_tal_target
prod_mart_marketing.rpt_web_target,mart.marketing.rpt_web_target
prod_mart_marketing.rpt_xql_target,mart.marketing.rpt_xql_target
prod_mart_marketing.technology_bot,mart.marketing.technology_bot
prod_mart_professional_services.rpt_daily_support_project_hours,mart.professional_services.rpt_daily_support_project_hours
prod_mart_professional_services.rpt_tpc_success_plan,mart.professional_services.rpt_tpc_success_plan
prod_mart_professional_services.rpt_tpc_success_plan_snapshot,mart.professional_services.rpt_tpc_success_plan_snapshot
prod_mart_professional_services.rpt_tpc_weekly_service_status,mart.professional_services.rpt_tpc_weekly_service_status
prod_mart_professional_services.rpt_weekly_support_project,mart.professional_services.rpt_weekly_support_project
prod_mart_sales.rpt_account_executive_sales_attainment,mart.sales.rpt_account_executive_sales_attainment
prod_mart_sales.rpt_account_snapshot,mart.sales.rpt_account_snapshot
prod_mart_sales.rpt_active_sales_subscriptions,mart.sales.rpt_active_sales_subscriptions
prod_mart_sales.rpt_opportunity,mart.sales.rpt_opportunity
prod_mart_sales.rpt_opportunity_split,mart.sales.rpt_opportunity_split
prod_mart_sales.rpt_qbr_attach_rate,mart.sales.rpt_qbr_attach_rate
prod_mart_sales.rpt_qbr_average_selling_price,mart.sales.rpt_qbr_average_selling_price
prod_mart_sales.rpt_qbr_begining_of_period_performance,mart.sales.rpt_qbr_begining_of_period_performance
prod_mart_sales.rpt_qbr_booking_by_source_xdrpam,mart.sales.rpt_qbr_booking_by_source_xdrpam
prod_mart_sales.rpt_qbr_booking_recommend,mart.sales.rpt_qbr_booking_recommend
prod_mart_sales.rpt_qbr_in_quarter_performance,mart.sales.rpt_qbr_in_quarter_performance
prod_mart_sales.rpt_qbr_opportunity_deal_buckets,mart.sales.rpt_qbr_opportunity_deal_buckets
prod_mart_sales.rpt_qbr_pipeline_by_source,mart.sales.rpt_qbr_pipeline_by_source
prod_mart_sales.rpt_qbr_pipeline_by_source_xdrpam,mart.sales.rpt_qbr_pipeline_by_source_xdrpam
prod_mart_sales.rpt_qbr_pipeline_recommend,mart.sales.rpt_qbr_pipeline_recommend
prod_mart_sales.rpt_qbr_quarterly_sales_bookings,mart.sales.rpt_qbr_quarterly_sales_bookings
prod_mart_sales.rpt_qbr_quarterly_sales_bookings_by_source,mart.sales.rpt_qbr_quarterly_sales_bookings_by_source
prod_mart_sales.rpt_qbr_tech_wins,mart.sales.rpt_qbr_tech_wins
prod_mart_sales.rpt_qbr_win_rate_waterfall,mart.sales.rpt_qbr_win_rate_waterfall
prod_mart_sales.rpt_sales_activities,mart.sales.rpt_sales_activities
prod_mart_sales.rpt_sales_line_item,mart.sales.rpt_sales_line_item
prod_mart_sales.rpt_sales_primary_quote,mart.sales.rpt_sales_primary_quote
prod_mart_sales.rpt_sales_target,mart.sales.rpt_sales_target
